0	0	0
1	1	0.1
2	1.31952	0.131952
3	1.61737	0.161737
4	1.86036	0.186036
5	2.0877	0.20877
6	2.2784	0.22784
7	2.45991	0.245991
8	2.62845	0.262845
9	2.78193	0.278193
10	2.92368	0.292368
11	3.061	0.3061
12	3.20181	0.320181
13	3.32769	0.332769
14	3.45506	0.345506
15	3.57369	0.357369
16	3.69155	0.369155
17	3.80238	0.380238
18	3.91198	0.391198
19	4.00626	0.400626
20	4.10992	0.410992
21	4.20908	0.420908
22	4.31132	0.431132
23	4.39498	0.439498
24	4.48852	0.448852
25	4.57594	0.457594
26	4.6607	0.46607
27	4.73802	0.473802
28	4.82137	0.482137
29	4.90714	0.490714
30	4.99645	0.499645
31	5.0867	0.50867
32	5.16646	0.516646
33	5.25278	0.525278
34	5.33726	0.533726
35	5.41595	0.541595
36	5.48809	0.548809
37	5.5587	0.55587
38	5.63466	0.563466
39	5.71164	0.571164
40	5.78527	0.578527
41	5.84164	0.584164
42	5.92171	0.592171
43	5.9938	0.59938
44	6.06227	0.606227
45	6.1293	0.61293
46	6.19338	0.619338
47	6.25774	0.625774
48	6.32423	0.632423
49	6.39147	0.639147
50	6.46869	0.646869
51	6.52976	0.652976
52	6.58419	0.658419
53	6.65022	0.665022
54	6.71689	0.671689
55	6.76596	0.676596
56	6.8226	0.68226
57	6.88687	0.688687
58	6.95423	0.695423
59	7.01837	0.701837
60	7.08044	0.708044
61	7.14806	0.714806
62	7.20443	0.720443
63	7.26666	0.726666
64	7.33439	0.733439
65	7.39898	0.739898
66	7.45424	0.745424
67	7.51106	0.751106
68	7.56769	0.756769
69	7.62131	0.762131
70	7.68538	0.768538
71	7.75156	0.775156
72	7.80807	0.780807
73	7.86228	0.786228
74	7.92148	0.792148
75	7.97247	0.797247
76	8.02175	0.802175
77	8.07715	0.807715
78	8.12839	0.812839
79	8.17495	0.817495
80	8.2261	0.82261
81	8.28408	0.828408
82	8.34309	0.834309
83	8.39699	0.839699
84	8.4536	0.84536
85	8.50158	0.850158
86	8.53603	0.853603
87	8.59003	0.859003
88	8.6309	0.86309
89	8.68743	0.868743
90	8.72282	0.872282
91	8.77474	0.877474
92	8.82606	0.882606
93	8.87142	0.887142
94	8.92022	0.892022
95	8.97099	0.897099
96	9.02355	0.902355
97	9.06784	0.906784
98	9.11868	0.911868
99	9.15932	0.915932
100	9.19755	0.919755
