           1    -6.36464    -6.36464           0
           2     -6.3645    -6.36457 4.86936e-05
           3    -6.36431    -6.36448 7.82449e-05
           4    -6.36406    -6.36437 0.000108611
           5    -6.36376    -6.36425 0.000140812
           6     -6.3634    -6.36411 0.000175036
           7    -6.36298    -6.36395 0.000211294
           8    -6.36251    -6.36377 0.000249549
           9    -6.36199    -6.36357 0.000289753
          10    -6.36141    -6.36335  0.00033186
          11    -6.36077    -6.36312 0.000375827
          12    -6.36007    -6.36287 0.000421616
          13    -6.35932    -6.36259 0.000469197
          14    -6.35851     -6.3623 0.000518543
          15    -6.35764    -6.36199 0.000569635
          16    -6.35671    -6.36166 0.000622457
          17    -6.35571    -6.36131 0.000676997
          18    -6.35466    -6.36094 0.000733248
          19    -6.35355    -6.36055 0.000791205
          20    -6.35237    -6.36014 0.000850867
          21    -6.35113    -6.35971 0.000912238
          22    -6.34982    -6.35926 0.000975322
          23    -6.34845    -6.35879  0.00104013
          24    -6.34701     -6.3583  0.00110666
          25    -6.34535    -6.35778  0.00117746
          26    -6.34377    -6.35725  0.00124945
          27    -6.34212    -6.35668  0.00132276
          28     -6.3404     -6.3561   0.0013975
          29    -6.33861     -6.3555  0.00147378
          30    -6.33674    -6.35487  0.00155167
          31    -6.33449    -6.35422  0.00163499
          32    -6.33247    -6.35354  0.00171935
          33    -6.33007    -6.35283  0.00180837
          34    -6.32789    -6.35209  0.00189814
          35    -6.32547    -6.35133   0.0019905
          36    -6.32297    -6.35054  0.00208529
          37    -6.32039    -6.34973  0.00218244
          38    -6.31756    -6.34888  0.00228329
          39    -6.31465    -6.34801  0.00238752
          40     -6.3118     -6.3471  0.00249355
          41    -6.30855    -6.34616  0.00260401
          42    -6.30535    -6.34519  0.00271722
          43    -6.30191    -6.34418  0.00283429
          44    -6.29837    -6.34314  0.00295491
          45    -6.29458    -6.34206  0.00307999
          46    -6.29099    -6.34095  0.00320693
          47    -6.28729    -6.33981  0.00333577
          48    -6.28302    -6.33863  0.00346971
          49    -6.27926    -6.33741  0.00360424
          50    -6.27492    -6.33616  0.00374259
          51    -6.27092    -6.33489  0.00388168
          52    -6.26666    -6.33357  0.00402268
          53    -6.26227    -6.33223  0.00416571
          54    -6.25745    -6.33084   0.0043126
          55    -6.25311    -6.32943  0.00445976
          56    -6.24834    -6.32798  0.00460919
          57    -6.24299    -6.32649  0.00476342
          58    -6.23735    -6.32495  0.00492299
          59    -6.23173    -6.32337  0.00508682
          60    -6.22626    -6.32176  0.00525322
          61    -6.22081     -6.3201  0.00542149
          62    -6.21521    -6.31841   0.0055918
          63    -6.20931    -6.31668  0.00576497
          64     -6.2031     -6.3149  0.00594175
          65    -6.19735    -6.31309  0.00611939
          66    -6.19098    -6.31124  0.00630017
          67    -6.18445    -6.30935  0.00648412
          68    -6.17807    -6.30742  0.00667001
          69    -6.17166    -6.30545  0.00685739
          70    -6.16494    -6.30345  0.00704711
          71    -6.15789     -6.3014  0.00723992
          72    -6.15082     -6.2993   0.0074353
          73    -6.14251    -6.29716  0.00763738
          74    -6.13523    -6.29497  0.00784137
